TaskId,ExerciseName,Weight,Ax,Ay,Az,Gx,Gy,Gz,Time,Phase
30001,pushup,0,-8.93374587,2.45852071,17.02801747,0.72845448,0.26487699,-1.23512054,10,concentric
30001,pushup,0,-7.69287020,2.73478188,14.91897948,0.59276266,0.23959027,-1.26303227,20,concentric
30001,pushup,0,-9.21052278,1.93510941,12.54774276,0.43839059,0.16626230,-1.13922267,30,concentric
30001,pushup,0,-10.51472245,2.08992555,18.60610340,0.50017522,0.33736256,-1.39328723,40,concentric
30001,pushup,0,-10.09342887,2.55138840,13.65393942,0.60163376,0.24612744,-1.21658663,50,concentric
30001,pushup,0,-10.15209198,3.07825249,15.81954734,0.39776596,0.46851981,-1.34927299,60,concentric
30001,pushup,0,-9.22142599,1.93907864,13.33571861,0.59697838,0.46472934,-1.13382524,70,concentric
30001,pushup,0,-9.58483745,2.44100329,13.05939110,0.47035936,0.29357298,-0.99443007,80,concentric
30001,pushup,0,-9.05483889,2.00671212,16.48571155,0.53129809,0.26971004,-1.05481230,90,concentric
30001,pushup,0,-8.26490038,2.81922414,14.28852379,0.55321842,0.42936973,-0.99390807,100,concentric
30001,pushup,0,-9.98029842,2.48827578,13.79033583,0.43050269,0.50982582,-0.93060379,110,concentric
30001,pushup,0,-9.51006800,2.84907556,16.58169329,0.52327127,0.45024073,-0.89727097,120,concentric
30001,pushup,0,-9.46290409,3.02135149,10.93688007,0.75318136,0.41697385,-1.16691351,130,concentric
30001,pushup,0,-9.31170261,1.95952273,15.49508891,0.69305040,0.63327092,-1.19405043,140,concentric
30001,pushup,0,-10.33241355,2.40898566,17.65462796,0.69809460,0.33956152,-1.03374072,150,concentric
30001,pushup,0,-9.29466840,2.85370229,14.59512492,0.60862266,0.36740137,-1.32486405,160,concentric
30001,pushup,0,-9.06256187,2.64489059,15.94284314,0.63124696,0.22084241,-1.16323578,170,concentric
30001,pushup,0,-9.78584268,2.32921806,15.63400478,0.73536074,0.72273037,-1.06896146,180,concentric
30001,pushup,0,-9.09676716,2.55074982,12.30817697,0.67873191,0.45520172,-0.72088829,190,concentric
30001,pushup,0,-9.60511979,2.66657867,15.88641543,0.51498447,0.62365236,-0.97303834,200,concentric
30001,pushup,0,-8.47974220,2.30617135,18.61767319,0.48719131,0.54600374,-0.75295028,210,concentric
30001,pushup,0,-10.50666593,2.41180767,16.15233297,0.62872113,0.23079446,-1.06717007,220,concentric
30001,pushup,0,-10.58467064,2.72631479,14.22524578,0.94308282,0.35098613,-1.12195363,230,concentric
30001,pushup,0,-8.44268656,2.21734325,16.40446912,0.91257776,0.23208260,-1.04240111,240,concentric
30001,pushup,0,-9.07055083,2.82333538,13.63231850,0.52390281,0.55586828,-1.02226952,250,concentric
30001,pushup,0,-9.07825244,2.69472494,14.69225408,0.76181424,0.52554182,-1.17096700,260,concentric
30001,pushup,0,-7.23411068,2.73475413,13.72649707,0.82999367,0.33900625,-0.94303093,270,concentric
30001,pushup,0,-8.03786190,2.34802140,17.81501333,0.79748237,0.61176121,-0.77414191,280,concentric
30001,pushup,0,-9.63626350,2.36953179,14.30478591,0.61676004,0.47974001,-1.00534825,290,concentric
30001,pushup,0,-9.03925111,2.84503590,16.01841343,0.96023242,0.45406332,-0.64665324,300,concentric
30001,pushup,0,-8.63987661,2.34076114,13.96540464,0.81714188,0.46229740,-0.94603731,310,concentric
30001,pushup,0,-8.81240966,2.57688429,14.39194504,0.51960533,0.43048869,-0.92344073,320,concentric
30001,pushup,0,-9.10690381,2.22563125,16.32705680,0.80617982,0.36612715,-1.02791191,330,concentric
30001,pushup,0,-9.28399175,2.25687579,16.67789859,0.83353487,0.66199144,-0.89227938,340,concentric
30001,pushup,0,-10.92058195,2.31862658,16.97645504,0.82700311,0.57720533,-0.47212914,350,concentric
30001,pushup,0,-8.69922369,2.94064378,17.80873552,0.84764391,0.45265779,-0.93619348,360,concentric
30001,pushup,0,-10.23137043,2.52872129,15.07928447,0.76169831,0.84673254,-1.33043946,370,concentric
30001,pushup,0,-8.56863406,2.11553812,15.10392295,0.91172480,0.50834777,-1.21263239,380,concentric
30001,pushup,0,-10.16734678,2.80261229,14.61269080,0.77930120,0.50430171,-1.14964060,390,concentric
30001,pushup,0,-6.90904113,2.78808412,12.15614647,0.77273917,0.39654885,-0.92527239,400,concentric
30001,pushup,0,-10.25815226,2.56245999,16.95121772,0.87206558,0.31371738,-1.10485380,410,concentric
30001,pushup,0,-9.89795870,2.39965386,19.33860651,0.79987884,0.30217268,-0.91884176,420,concentric
30001,pushup,0,-6.93940280,2.90396567,13.10772673,0.66293012,0.67848886,-1.16481128,430,concentric
30001,pushup,0,-8.85513947,2.82499447,14.22774833,0.72258183,-0.00098160,-1.21475177,440,concentric
30001,pushup,0,-9.65174198,2.21645552,19.07663278,0.51245498,0.41557428,-1.04420320,450,concentric
30001,pushup,0,-7.72376567,2.15802988,18.18293552,0.72350626,0.33035075,-0.99750170,460,concentric
30001,pushup,0,-9.14316814,2.40653748,16.10554983,0.65870931,0.49023268,-0.97077659,470,concentric
30001,pushup,0,-7.56558524,2.21289241,20.01270540,0.41777948,0.44570636,-0.98539683,480,concentric
30001,pushup,0,-9.05712379,2.39488713,15.56879419,0.63029233,0.37498927,-0.95001420,490,concentric
30001,pushup,0,-8.97452097,2.37111471,17.66361654,0.74356390,0.57990449,-0.98707429,500,concentric
30001,pushup,0,-10.33088261,2.40806016,17.36909762,0.78184172,0.44909370,-1.06822919,510,concentric
30001,pushup,0,-7.93383662,2.39561218,16.98346383,0.65238009,0.41351501,-0.92555808,520,concentric
30001,pushup,0,-8.45417350,2.81395414,18.41499031,0.67790369,0.54209544,-1.14168815,530,concentric
30001,pushup,0,-9.03058934,2.52753110,16.11705237,0.75570858,0.31041492,-0.78628089,540,concentric
30001,pushup,0,-10.55219662,2.19885221,18.12199581,0.77652139,0.51983556,-1.01108498,550,concentric
30001,pushup,0,-9.42469216,2.29033646,16.06275099,0.54720768,0.56529351,-1.13278945,560,concentric
30001,pushup,0,-10.35737670,2.45937765,16.69450485,0.55492483,0.28825375,-1.07975681,570,concentric
30001,pushup,0,-9.14280052,2.39987544,15.01082816,0.66470348,0.18670414,-1.33318197,580,concentric
30001,pushup,0,-10.24700287,2.48398155,16.48551213,0.84134267,0.52468033,-1.15196724,590,concentric
30001,pushup,0,-9.45571827,2.24321466,15.85284604,0.56663488,0.43635473,-1.25812443,600,concentric
30001,pushup,0,-8.84818481,2.99966178,15.67347098,0.65985703,0.48320182,-1.20042291,610,concentric
30001,pushup,0,-9.19109831,2.53940189,16.05644223,0.47310896,0.37492487,-1.07186400,620,concentric
30001,pushup,0,-7.79869469,2.81911564,19.94510273,0.46323386,0.49351689,-1.12549710,630,concentric
30001,pushup,0,-6.96315514,2.28449019,14.26184674,0.47754030,0.03537500,-1.23839374,640,concentric
30001,pushup,0,-10.33155768,2.56768717,16.49310741,0.83784822,0.48770165,-1.25268199,650,concentric
30001,pushup,0,-10.49702529,2.66568737,13.33306108,0.81999787,0.51313926,-1.24320892,660,concentric
30001,pushup,0,-11.43254837,2.91977838,15.61006578,0.71971411,0.08806918,-1.26948126,670,concentric
30001,pushup,0,-9.48038195,2.52318766,14.96486284,0.61616121,0.15804391,-1.20771669,680,concentric
30001,pushup,0,-9.35603579,2.65888311,17.15832473,0.34268234,0.07898579,-1.00152129,690,concentric
30001,pushup,0,-9.12116203,2.27545404,18.74098415,0.51735120,0.47689458,-1.18987223,700,concentric
30001,pushup,0,-7.15757456,3.02205079,15.31886105,0.63435699,0.38770347,-1.00153246,710,concentric
30001,pushup,0,-10.61365297,2.69672195,17.78858585,0.21345536,0.10432425,-1.51952506,720,concentric
30001,pushup,0,-9.82754879,2.70164601,18.62123564,0.47707255,0.51705900,-1.42744022,730,concentric
30001,pushup,0,-11.46902341,2.46522407,16.49196485,0.44981674,-0.04633956,-1.24053544,740,concentric
30001,pushup,0,-11.02094879,2.67833273,16.44993220,0.30259544,0.17778189,-1.39273559,750,concentric
30001,pushup,0,-9.61192369,2.75956302,13.87710406,0.50815778,0.16650200,-1.35940044,760,concentric
30001,pushup,0,-9.66901621,2.15809291,14.68761212,0.24198232,0.53203998,-1.24171206,770,concentric
30001,pushup,0,-10.35112334,2.52856980,15.51577768,0.37779413,0.32087666,-1.13981010,780,concentric
30001,pushup,0,-10.16453147,2.28741442,15.19882176,0.05511155,-0.00695888,-1.05472902,790,concentric
30001,pushup,0,-7.69069701,2.38131572,16.80520506,0.43675384,0.67388518,-1.09802397,800,concentric
30001,pushup,0,-9.71784959,2.16532217,12.65814639,0.41048031,0.09051600,-1.48536160,810,concentric
30001,pushup,0,-10.31503068,2.12357720,18.89490375,0.50234998,0.19488731,-1.05594597,820,concentric
30001,pushup,0,-9.49549024,2.18582133,18.57625644,0.44135299,0.03282627,-1.31224091,830,concentric
30001,pushup,0,-10.58747397,2.02564731,17.43700708,0.63763056,-0.02881068,-1.20482378,840,concentric
30001,pushup,0,-10.33639572,2.29075359,14.55060353,0.21262940,0.18106066,-1.41930571,850,concentric
30001,pushup,0,-9.29154024,2.41835456,15.21380648,0.19743042,0.08033628,-1.18655233,860,concentric
30001,pushup,0,-9.03380627,2.13683218,15.84853156,0.43795496,-0.09021328,-1.22334784,870,concentric
30001,pushup,0,-10.36501648,2.59809600,14.20669345,0.04655869,-0.09029856,-1.30241265,880,concentric
30001,pushup,0,-9.31808805,2.15259054,16.85854236,0.06048581,0.13785909,-1.49582414,890,concentric
30001,pushup,0,-10.36157454,2.43523201,14.01068109,0.24484770,0.29296875,-1.40501516,900,concentric
30001,pushup,0,-8.66985648,2.07939095,16.64111474,0.51199282,-0.23414065,-1.44207977,910,concentric
30001,pushup,0,-8.96849337,2.35484932,16.33521845,0.19880957,0.14451434,-1.34970718,920,concentric
30001,pushup,0,-8.29863226,2.48972371,16.26688957,0.22171210,0.05365399,-1.39478754,930,concentric
30001,pushup,0,-9.18350734,2.28491613,16.17183608,0.58933882,0.25309166,-1.38208631,940,concentric
30001,pushup,0,-8.26680184,2.28678691,11.75413493,0.12181086,-0.16219974,-1.38891274,950,concentric
30001,pushup,0,-9.61790943,2.91032694,16.23464580,0.23562429,0.23920233,-1.67057667,960,concentric
30001,pushup,0,-9.37273854,2.63703347,12.80814829,0.43599788,0.16232228,-1.40363233,970,concentric
